committee_name,election_cycle,count,party
"DEMOCRATIC VICTORY PAC, INC.",2022,2,
"DEMOCRATIC VICTORY PAC, INC.",2024,2,
DONNA EDWARDS 4 CONGRESS,2016,2,
DONNA EDWARDS 4 CONGRESS,2018,2,
DONNA EDWARDS 4 CONGRESS,2020,2,
DONNA EDWARDS 4 CONGRESS,2022,2,
DONNA EDWARDS 4 CONGRESS,2024,2,
DSI,2016,2,
DSI,2018,2,
DSI,2020,2,
DSI,2022,2,
DSI,2024,2,
ELECT DIVERSE DEMOCRATS PAC,2016,2,
ELECT DIVERSE DEMOCRATS PAC,2018,2,
ELECT DIVERSE DEMOCRATS PAC,2020,2,
ELECT DIVERSE DEMOCRATS PAC,2022,2,
ELECT DIVERSE DEMOCRATS PAC,2024,2,
GLENN IVEY FOR CONGRESS,2016,2,
GLENN IVEY FOR CONGRESS,2018,2,
GLENN IVEY FOR CONGRESS,2020,2,
GLENN IVEY FOR CONGRESS,2022,2,
GLENN IVEY FOR CONGRESS,2024,2,
HILL HARPER FOR MICHIGAN,2016,2,
HILL HARPER FOR MICHIGAN,2018,2,
HILL HARPER FOR MICHIGAN,2020,2,
HILL HARPER FOR MICHIGAN,2022,2,
HILL HARPER FOR MICHIGAN,2024,2,
HOGAN FOR MARYLAND INC.,2016,2,
HOGAN FOR MARYLAND INC.,2018,2,
HOGAN FOR MARYLAND INC.,2020,2,
HOGAN FOR MARYLAND INC.,2022,2,
HOGAN FOR MARYLAND INC.,2024,2,
KAMALA HARRIS FOR THE PEOPLE,2016,2,
KAMALA HARRIS FOR THE PEOPLE,2018,2,
KAMALA HARRIS FOR THE PEOPLE,2020,2,
KAMALA HARRIS FOR THE PEOPLE,2022,2,
KAMALA HARRIS FOR THE PEOPLE,2024,2,
KASICH FOR AMERICA INC,2016,2,
KASICH FOR AMERICA INC,2018,2,
KASICH FOR AMERICA INC,2020,2,
KASICH FOR AMERICA INC,2022,2,
KASICH FOR AMERICA INC,2024,2,
MANDELA BARNES FOR WISCONSIN,2016,2,
